VD,North,East
1801301,6579820,674106
1801302,6579650,674012
1801303,6579330,674081
1801304,6579100,674153
1801305,6579340,674336
1801306,6579520,674374
1801307,6579440,674709
1801308,6579160,674458
1801309,6578850,674323
1801310,6579070,674604
1801311,6578930,674223
1801312,6579360,674529
1801313,6579720,674466
1801401,6579780,672199
1801402,6579340,671835
1801403,6579780,673106
1801404,6579510,672956
1801405,6579170,672296
1801406,6579430,672488
1801407,6579020,672547
1801408,6579390,672302
1801409,6579310,672780
1801410,6579030,672934
1801411,6579330,673313
1801412,6579800,673624
1801413,6579440,673783
1801414,6579180,673436
1801415,6578400,673946
1801416,6578910,673882
1801417,6579260,673714
1801418,6579460,673473
1801419,6579510,672635
1801420,6579220,672505
1801421,6578740,673327
1801422,6579170,673875
1801501,6579190,674980
1801502,6579650,674915
1801503,6579450,675270
1801504,6579070,675204
1801505,6578910,675053
1801506,6579140,675448
1801507,6578780,674574
1801508,6578910,674894
1801509,6578590,674881
1801510,6578470,674576
1801511,6578630,674689
1801512,6578170,674408
1801513,6578650,674335
1801514,6578560,675367
1801515,6578500,675187
1801516,6578720,675156
1801517,6578650,675544
1801518,6578870,675502
1801519,6578880,675299
1801520,6578420,674879
1801521,6578870,674733
1801522,6578050,674918
1801701,6578840,676470
1801702,6579350,676319
1801703,6578870,675781
1801704,6579420,675635
1801705,6579110,675932
1801706,6578070,676245
1801707,6578580,675800
1801708,6577870,676582
1801709,6578170,675423
1801710,6578380,676033
1801711,6578740,676142
1801712,6578830,676810
1801713,6578210,676700
1801714,6577850,676815
1801715,6577790,675757
1801716,6578060,677082
1801717,6578370,676894
1801718,6578320,675238
1801719,6578350,675698
1801720,6579080,675786
1801721,6577930,676461
1801722,6578020,675967
1801723,6578570,676794
1803401,6577830,673124
1803402,6577360,673739
1803403,6577550,673258
1803404,6577010,673664
1803405,6576890,673366
1803406,6576700,673907
1803407,6577130,674061
1803408,6577680,674188
1803409,6577510,674952
1803410,6577000,674429
1803411,6577350,675418
1803412,6576980,675826
1803413,6576580,675934
1803414,6576670,675375
1803415,6576530,674724
1803416,6575970,674917
1803417,6575890,674208
1803418,6575180,675813
1803419,6575830,675705
1803420,6574860,676608
1803421,6576270,676382
1803422,6575980,676464
1803423,6575450,675193
1803424,6576060,676201
1803425,6577360,673364
1801801,6580370,672342
1801802,6580420,672571
1801803,6581060,672904
1801804,6581120,673055
1801805,6580900,672769
1801806,6580400,672952
1801807,6580350,673180
1801808,6580700,673316
1801809,6580990,673442
1801810,6580420,673608
1801811,6581370,672915
